acjt169;GEN_CASS_LIBRESEMP_2015-16;student
acnc505;GEN_CASS_LIBRESEMP_2015-16;student
abnc290;GEN_CASS_LIBRESEMP_2015-16;student
acnc824;GEN_CASS_LIBRESEMP_2015-16;student
abnk052;GEN_CASS_LIBRESEMP_2015-16;student
acnd019;GEN_CASS_LIBRESEMP_2015-16;student
acnd294;GEN_CASS_LIBRESEMP_2015-16;student
acnc225;GEN_CASS_LIBRESEMP_2015-16;student
abmz152;GEN_CASS_LIBRESEMP_2015-16;student
abnf078;GEN_CASS_LIBRESEMP_2015-16;student
abnk093;GEN_CASS_LIBRESEMP_2015-16;student
abnk604;GEN_CASS_LIBRESEMP_2015-16;student
abnk514;GEN_CASS_LIBRESEMP_2015-16;student
abnk672;GEN_CASS_LIBRESEMP_2015-16;student
abnk490;GEN_CASS_LIBRESEMP_2015-16;student
abnk587;GEN_CASS_LIBRESEMP_2015-16;student
abnt929;GEN_CASS_LIBRESEMP_2015-16;student
abnt949;GEN_CASS_LIBRESEMP_2015-16;student
abnt989;GEN_CASS_LIBRESEMP_2015-16;student
abpc845;GEN_CASS_LIBRESEMP_2015-16;student
abmm841;GEN_CASS_LIBRESEMP_2015-16;student
abpg586;GEN_CASS_LIBRESEMP_2015-16;student
abpk999;GEN_CASS_LIBRESEMP_2015-16;student
abpm729;GEN_CASS_LIBRESEMP_2015-16;student
abry777;GEN_CASS_LIBRESEMP_2015-16;student
abpp307;GEN_CASS_LIBRESEMP_2015-16;student
abpm505;GEN_CASS_LIBRESEMP_2015-16;student
acnf206;GEN_CASS_LIBRESEMP_2015-16;student
abpm477;GEN_CASS_LIBRESEMP_2015-16;student
abpm546;GEN_CASS_LIBRESEMP_2015-16;student
acnf181;GEN_CASS_LIBRESEMP_2015-16;student
abpn629;GEN_CASS_LIBRESEMP_2015-16;student
abpv138;GEN_CASS_LIBRESEMP_2015-16;student
abpk962;GEN_CASS_LIBRESEMP_2015-16;student
acnc512;GEN_CASS_LIBRESEMP_2015-16;student
absx792;GEN_CASS_LIBRESEMP_2015-16;student
abpm281;GEN_CASS_LIBRESEMP_2015-16;student
abpm270;GEN_CASS_LIBRESEMP_2015-16;student
