username	shortname
acnk960	GEN_ADN_CPP_2015-16
acnk962	GEN_ADN_CPP_2015-16
acnn134	GEN_ADN_CPP_2015-16
acnn135	GEN_ADN_CPP_2015-16
acnn136	GEN_ADN_CPP_2015-16
acnn173	GEN_ADN_CPP_2015-16
acnn202	GEN_ADN_CPP_2015-16
acnn343	GEN_ADN_CPP_2015-16
acnn403	GEN_ADN_CPP_2015-16
acnn878	GEN_ADN_CPP_2015-16
abnb778	GEN_ADN_CPP_2015-16
abpf055	GEN_ADN_CPP_2015-16
abpr673	GEN_ADN_CPP_2015-16
abpr676	GEN_ADN_CPP_2015-16
abpr678	GEN_ADN_CPP_2015-16
absh357	GEN_ADN_CPP_2015-16
absh557	GEN_ADN_CPP_2015-16
absh571	GEN_ADN_CPP_2015-16
absh584	GEN_ADN_CPP_2015-16
absh593	GEN_ADN_CPP_2015-16
absh617	GEN_ADN_CPP_2015-16
absm169	GEN_ADN_CPP_2015-16
absm171	GEN_ADN_CPP_2015-16
absm173	GEN_ADN_CPP_2015-16
absm174	GEN_ADN_CPP_2015-16
absm175	GEN_ADN_CPP_2015-16
absm178	GEN_ADN_CPP_2015-16
absm179	GEN_ADN_CPP_2015-16
absm180	GEN_ADN_CPP_2015-16
absm184	GEN_ADN_CPP_2015-16
absm185	GEN_ADN_CPP_2015-16
absm188	GEN_ADN_CPP_2015-16
absm194	GEN_ADN_CPP_2015-16
absm195	GEN_ADN_CPP_2015-16
absm201	GEN_ADN_CPP_2015-16
absm213	GEN_ADN_CPP_2015-16
absm215	GEN_ADN_CPP_2015-16
absm217	GEN_ADN_CPP_2015-16
absm219	GEN_ADN_CPP_2015-16
absm237	GEN_ADN_CPP_2015-16
absm240	GEN_ADN_CPP_2015-16
absm241	GEN_ADN_CPP_2015-16
absm243	GEN_ADN_CPP_2015-16
absm244	GEN_ADN_CPP_2015-16
absm247	GEN_ADN_CPP_2015-16
absm248	GEN_ADN_CPP_2015-16
absn452	GEN_ADN_CPP_2015-16
absn453	GEN_ADN_CPP_2015-16
absn455	GEN_ADN_CPP_2015-16
absn456	GEN_ADN_CPP_2015-16
absn457	GEN_ADN_CPP_2015-16
absn465	GEN_ADN_CPP_2015-16
absn466	GEN_ADN_CPP_2015-16
absn468	GEN_ADN_CPP_2015-16
absn471	GEN_ADN_CPP_2015-16
absn472	GEN_ADN_CPP_2015-16
absn474	GEN_ADN_CPP_2015-16
absn478	GEN_ADN_CPP_2015-16
absn494	GEN_ADN_CPP_2015-16
absn496	GEN_ADN_CPP_2015-16
absn497	GEN_ADN_CPP_2015-16
absn500	GEN_ADN_CPP_2015-16
absn501	GEN_ADN_CPP_2015-16
absn502	GEN_ADN_CPP_2015-16
absn506	GEN_ADN_CPP_2015-16
absn511	GEN_ADN_CPP_2015-16
acjx825	GEN_ADN_CPP_2015-16
acjx846	GEN_ADN_CPP_2015-16
acjy147	GEN_ADN_CPP_2015-16
acjy870	GEN_ADN_CPP_2015-16
acjy988	GEN_ADN_CPP_2015-16
acjz081	GEN_ADN_CPP_2015-16
acjz088	GEN_ADN_CPP_2015-16
acjz441	GEN_ADN_CPP_2015-16
acjz538	GEN_ADN_CPP_2015-16
acka850	GEN_ADN_CPP_2015-16
acka852	GEN_ADN_CPP_2015-16
acka853	GEN_ADN_CPP_2015-16
acka854	GEN_ADN_CPP_2015-16
acka855	GEN_ADN_CPP_2015-16
acka856	GEN_ADN_CPP_2015-16
acka857	GEN_ADN_CPP_2015-16
acka858	GEN_ADN_CPP_2015-16
acka859	GEN_ADN_CPP_2015-16
acka860	GEN_ADN_CPP_2015-16
acka861	GEN_ADN_CPP_2015-16
acka862	GEN_ADN_CPP_2015-16
acka864	GEN_ADN_CPP_2015-16
acka865	GEN_ADN_CPP_2015-16
acka866	GEN_ADN_CPP_2015-16
acka867	GEN_ADN_CPP_2015-16
acka869	GEN_ADN_CPP_2015-16
acka870	GEN_ADN_CPP_2015-16
acka872	GEN_ADN_CPP_2015-16
acka873	GEN_ADN_CPP_2015-16
acka875	GEN_ADN_CPP_2015-16
acka876	GEN_ADN_CPP_2015-16
acka877	GEN_ADN_CPP_2015-16
acka878	GEN_ADN_CPP_2015-16
acka879	GEN_ADN_CPP_2015-16
acka880	GEN_ADN_CPP_2015-16
acka881	GEN_ADN_CPP_2015-16
acka882	GEN_ADN_CPP_2015-16
acka885	GEN_ADN_CPP_2015-16
acka886	GEN_ADN_CPP_2015-16
acka887	GEN_ADN_CPP_2015-16
acka888	GEN_ADN_CPP_2015-16
acka890	GEN_ADN_CPP_2015-16
acka891	GEN_ADN_CPP_2015-16
acka893	GEN_ADN_CPP_2015-16
acka894	GEN_ADN_CPP_2015-16
acka895	GEN_ADN_CPP_2015-16
acka897	GEN_ADN_CPP_2015-16
acka898	GEN_ADN_CPP_2015-16
acka899	GEN_ADN_CPP_2015-16
acka900	GEN_ADN_CPP_2015-16
acka901	GEN_ADN_CPP_2015-16
acka902	GEN_ADN_CPP_2015-16
acka903	GEN_ADN_CPP_2015-16
acka904	GEN_ADN_CPP_2015-16
acka905	GEN_ADN_CPP_2015-16
acka906	GEN_ADN_CPP_2015-16
acka907	GEN_ADN_CPP_2015-16
acka908	GEN_ADN_CPP_2015-16
acka910	GEN_ADN_CPP_2015-16
acka911	GEN_ADN_CPP_2015-16
acka912	GEN_ADN_CPP_2015-16
acka913	GEN_ADN_CPP_2015-16
acka914	GEN_ADN_CPP_2015-16
acka915	GEN_ADN_CPP_2015-16
acka916	GEN_ADN_CPP_2015-16
acka917	GEN_ADN_CPP_2015-16
acka918	GEN_ADN_CPP_2015-16
acka919	GEN_ADN_CPP_2015-16
acka920	GEN_ADN_CPP_2015-16
acka921	GEN_ADN_CPP_2015-16
acka922	GEN_ADN_CPP_2015-16
acka923	GEN_ADN_CPP_2015-16
acka925	GEN_ADN_CPP_2015-16
acka926	GEN_ADN_CPP_2015-16
acka928	GEN_ADN_CPP_2015-16
acka932	GEN_ADN_CPP_2015-16
acka933	GEN_ADN_CPP_2015-16
acka934	GEN_ADN_CPP_2015-16
acka936	GEN_ADN_CPP_2015-16
acka937	GEN_ADN_CPP_2015-16
acka938	GEN_ADN_CPP_2015-16
acka939	GEN_ADN_CPP_2015-16
ackd537	GEN_ADN_CPP_2015-16
acnf849	GEN_ADN_CPP_2015-16
acnf853	GEN_ADN_CPP_2015-16
acnf855	GEN_ADN_CPP_2015-16
acnf861	GEN_ADN_CPP_2015-16
acnf862	GEN_ADN_CPP_2015-16
acnf864	GEN_ADN_CPP_2015-16
acnf866	GEN_ADN_CPP_2015-16
acnf867	GEN_ADN_CPP_2015-16
acnf869	GEN_ADN_CPP_2015-16
acnf873	GEN_ADN_CPP_2015-16
acnf876	GEN_ADN_CPP_2015-16
acnf878	GEN_ADN_CPP_2015-16
acnf881	GEN_ADN_CPP_2015-16
acnf882	GEN_ADN_CPP_2015-16
acnf883	GEN_ADN_CPP_2015-16
acnf884	GEN_ADN_CPP_2015-16
acnf886	GEN_ADN_CPP_2015-16
acnf887	GEN_ADN_CPP_2015-16
acnf888	GEN_ADN_CPP_2015-16
acnf889	GEN_ADN_CPP_2015-16
acnf893	GEN_ADN_CPP_2015-16
acnf894	GEN_ADN_CPP_2015-16
acnf896	GEN_ADN_CPP_2015-16
acnf897	GEN_ADN_CPP_2015-16
acnf898	GEN_ADN_CPP_2015-16
acnf899	GEN_ADN_CPP_2015-16
acnf900	GEN_ADN_CPP_2015-16
acnf902	GEN_ADN_CPP_2015-16
acnf904	GEN_ADN_CPP_2015-16
acnf905	GEN_ADN_CPP_2015-16
acnf910	GEN_ADN_CPP_2015-16
acnf911	GEN_ADN_CPP_2015-16
acnf912	GEN_ADN_CPP_2015-16
acnf914	GEN_ADN_CPP_2015-16
acnm694	GEN_ADN_CPP_2015-16
acnn137	GEN_ADN_CPP_2015-16
acnn138	GEN_ADN_CPP_2015-16
acnn139	GEN_ADN_CPP_2015-16
acnn140	GEN_ADN_CPP_2015-16
acnn141	GEN_ADN_CPP_2015-16
acnn143	GEN_ADN_CPP_2015-16
acnn144	GEN_ADN_CPP_2015-16
acnn145	GEN_ADN_CPP_2015-16
acnn146	GEN_ADN_CPP_2015-16
acnn149	GEN_ADN_CPP_2015-16
acnn150	GEN_ADN_CPP_2015-16
acnn151	GEN_ADN_CPP_2015-16
acnn152	GEN_ADN_CPP_2015-16
acnn153	GEN_ADN_CPP_2015-16
acnn154	GEN_ADN_CPP_2015-16
acnn155	GEN_ADN_CPP_2015-16
acnn156	GEN_ADN_CPP_2015-16
acnn159	GEN_ADN_CPP_2015-16
acnn160	GEN_ADN_CPP_2015-16
acnn162	GEN_ADN_CPP_2015-16
acnn163	GEN_ADN_CPP_2015-16
acnn166	GEN_ADN_CPP_2015-16
acnn167	GEN_ADN_CPP_2015-16
acnn168	GEN_ADN_CPP_2015-16
acnn169	GEN_ADN_CPP_2015-16
acnn170	GEN_ADN_CPP_2015-16
acnn171	GEN_ADN_CPP_2015-16
acnn174	GEN_ADN_CPP_2015-16
acnn175	GEN_ADN_CPP_2015-16
acnn176	GEN_ADN_CPP_2015-16
acnn177	GEN_ADN_CPP_2015-16
acnn178	GEN_ADN_CPP_2015-16
acnn179	GEN_ADN_CPP_2015-16
acnn180	GEN_ADN_CPP_2015-16
acnn181	GEN_ADN_CPP_2015-16
acnn182	GEN_ADN_CPP_2015-16
acnn184	GEN_ADN_CPP_2015-16
acnn185	GEN_ADN_CPP_2015-16
acnn187	GEN_ADN_CPP_2015-16
acnn190	GEN_ADN_CPP_2015-16
acnn192	GEN_ADN_CPP_2015-16
acnn193	GEN_ADN_CPP_2015-16
acnn199	GEN_ADN_CPP_2015-16
acnn200	GEN_ADN_CPP_2015-16
acnn201	GEN_ADN_CPP_2015-16
acnn203	GEN_ADN_CPP_2015-16
acnn204	GEN_ADN_CPP_2015-16
acnn205	GEN_ADN_CPP_2015-16
acnn207	GEN_ADN_CPP_2015-16
acnn208	GEN_ADN_CPP_2015-16
acnn210	GEN_ADN_CPP_2015-16
acnn211	GEN_ADN_CPP_2015-16
acnn212	GEN_ADN_CPP_2015-16
acnn213	GEN_ADN_CPP_2015-16
acnn540	GEN_ADN_CPP_2015-16
acnn913	GEN_ADN_CPP_2015-16
acnp385	GEN_ADN_CPP_2015-16
abmx578	GEN_ADN_CPP_2015-16
abpr662	GEN_ADN_CPP_2015-16
abpr677	GEN_ADN_CPP_2015-16
abpr767	GEN_ADN_CPP_2015-16
absh542	GEN_ADN_CPP_2015-16
absh543	GEN_ADN_CPP_2015-16
absh544	GEN_ADN_CPP_2015-16
absh545	GEN_ADN_CPP_2015-16
absh548	GEN_ADN_CPP_2015-16
absh550	GEN_ADN_CPP_2015-16
absh551	GEN_ADN_CPP_2015-16
absh552	GEN_ADN_CPP_2015-16
absh554	GEN_ADN_CPP_2015-16
absh556	GEN_ADN_CPP_2015-16
absh559	GEN_ADN_CPP_2015-16
absh561	GEN_ADN_CPP_2015-16
absh563	GEN_ADN_CPP_2015-16
absh565	GEN_ADN_CPP_2015-16
absh566	GEN_ADN_CPP_2015-16
absh568	GEN_ADN_CPP_2015-16
absh569	GEN_ADN_CPP_2015-16
absh570	GEN_ADN_CPP_2015-16
absh576	GEN_ADN_CPP_2015-16
absh577	GEN_ADN_CPP_2015-16
absh578	GEN_ADN_CPP_2015-16
absh579	GEN_ADN_CPP_2015-16
absh583	GEN_ADN_CPP_2015-16
absh585	GEN_ADN_CPP_2015-16
absh594	GEN_ADN_CPP_2015-16
absh596	GEN_ADN_CPP_2015-16
absh597	GEN_ADN_CPP_2015-16
absh598	GEN_ADN_CPP_2015-16
absh599	GEN_ADN_CPP_2015-16
absh600	GEN_ADN_CPP_2015-16
absh601	GEN_ADN_CPP_2015-16
absh606	GEN_ADN_CPP_2015-16
absh607	GEN_ADN_CPP_2015-16
absh608	GEN_ADN_CPP_2015-16
absh609	GEN_ADN_CPP_2015-16
absh611	GEN_ADN_CPP_2015-16
absh612	GEN_ADN_CPP_2015-16
absh618	GEN_ADN_CPP_2015-16
absm172	GEN_ADN_CPP_2015-16
absm177	GEN_ADN_CPP_2015-16
absm220	GEN_ADN_CPP_2015-16
absm246	GEN_ADN_CPP_2015-16
absm250	GEN_ADN_CPP_2015-16
absm251	GEN_ADN_CPP_2015-16
