username;course1;role1
acnd914;GEN_SOC_UGCR_2015-16;student
acnd888;GEN_SOC_UGCR_2015-16;student
acnd894;GEN_SOC_UGCR_2015-16;student
acnj468;GEN_SOC_UGCR_2015-16;student
acnj427;GEN_SOC_UGCR_2015-16;student
acnj520;GEN_SOC_UGCR_2015-16;student
acnj466;GEN_SOC_UGCR_2015-16;student
acnj515;GEN_SOC_UGCR_2015-16;student
acnj408;GEN_SOC_UGCR_2015-16;student
acnn459;GEN_SOC_UGCR_2015-16;student
acnf801;GEN_SOC_UGCR_2015-16;student
acnj495;GEN_SOC_UGCR_2015-16;student
acnc041;GEN_SOC_UGCR_2015-16;student
acnb754;GEN_SOC_UGCR_2015-16;student
acnd910;GEN_SOC_UGCR_2015-16;student
acnd880;GEN_SOC_UGCR_2015-16;student
acnd896;GEN_SOC_UGCR_2015-16;student
acnm307;GEN_SOC_UGCR_2015-16;student
acnd908;GEN_SOC_UGCR_2015-16;student
acnd872;GEN_SOC_UGCR_2015-16;student
acnd860;GEN_SOC_UGCR_2015-16;student
acnf804;GEN_SOC_UGCR_2015-16;student
acnk614;GEN_SOC_UGCR_2015-16;student
acnp041;GEN_SOC_UGCR_2015-16;student
abnd438;GEN_MYSEMS_2015-16;student
abpm971;GEN_MYSEMS_2015-16;student
abpm926;GEN_MYSEMS_2015-16;student
abpm994;GEN_MYSEMS_2015-16;student
absf520;GEN_MYSEMS_2015-16;student
absf657;GEN_MYSEMS_2015-16;student
absk156;GEN_MYSEMS_2015-16;student
absc247;GEN_MYSEMS_2015-16;student
acnb766;GEN_MYSEMS_2015-16;student
absf491;GEN_MYSEMS_2015-16;student
absf462;GEN_MYSEMS_2015-16;student
acnf446;GEN_MYSEMS_2015-16;student
acjw956;GEN_MYSEMS_2015-16;student
acjw966;GEN_MYSEMS_2015-16;student
acjw855;GEN_MYSEMS_2015-16;student
acka024;GEN_MYSEMS_2015-16;student
acjx030;GEN_MYSEMS_2015-16;student
acnk574;GEN_MYSEMS_2015-16;student
acjw952;GEN_MYSEMS_2015-16;student
acka014;GEN_MYSEMS_2015-16;student
acka011;GEN_MYSEMS_2015-16;student
ackd355;GEN_MYSEMS_2015-16;student
acng311;GEN_MYSEMS_2015-16;student
acnb768;GEN_MYSEMS_2015-16;student
acnh247;GEN_MYSEMS_2015-16;student
acnj757;GEN_MYSEMS_2015-16;student
acng850;GEN_MYSEMS_2015-16;student
acng859;GEN_MYSEMS_2015-16;student
acng885;GEN_MYSEMS_2015-16;student
acng880;GEN_MYSEMS_2015-16;student
acng909;GEN_MYSEMS_2015-16;student
acng863;GEN_MYSEMS_2015-16;student
acnk584;GEN_MYSEMS_2015-16;student
acnp618;GEN_MYSEMS_2015-16;student
abnd572;GEN_MYSEMS_2015-16;student
ackf190;GEN_MYSEMS_2015-16;student
abpp797;GEN_MYSEMS_2015-16;student
absf527;GEN_MYSEMS_2015-16;student
absf596;GEN_MYSEMS_2015-16;student
absc233;GEN_MYSEMS_2015-16;student
absf603;GEN_MYSEMS_2015-16;student
abst726;GEN_MYSEMS_2015-16;student
absk211;GEN_MYSEMS_2015-16;student
absx178;GEN_MYSEMS_2015-16;student
ackc007;GEN_MYSEMS_2015-16;student
acjw916;GEN_MYSEMS_2015-16;student
acjw895;GEN_MYSEMS_2015-16;student
acjw848;GEN_MYSEMS_2015-16;student
acka436;GEN_MYSEMS_2015-16;student
acka450;GEN_MYSEMS_2015-16;student
acka416;GEN_MYSEMS_2015-16;student
acng977;GEN_MYSEMS_2015-16;student
acng830;GEN_MYSEMS_2015-16;student
acng860;GEN_MYSEMS_2015-16;student
acng858;GEN_MYSEMS_2015-16;student
acng568;GEN_MYSEMS_2015-16;student
acnb760;GEN_MYSEMS_2015-16;student
acmn682;GEN_MYSEMS_2015-16;student
acnh003;GEN_MYSEMS_2015-16;student
acnh009;GEN_MYSEMS_2015-16;student
acng564;GEN_MYSEMS_2015-16;student
acnf522;GEN_MYSEMS_2015-16;student
acnf442;GEN_MYSEMS_2015-16;student
acnc024;GEN_MYSEMS_2015-16;student
acnf519;GEN_MYSEMS_2015-16;student
acnm772;GEN_MYSEMS_2015-16;student
acnm203;GEN_MYSEMS_2015-16;student
abpn626;GEN_MYSEMS_2015-16;student
abpm302;GEN_MYSEMS_2015-16;student
abpn628;GEN_MYSEMS_2015-16;student
abtg141;GEN_MYSEMS_2015-16;student
absd546;GEN_MYSEMS_2015-16;student
absd469;GEN_MYSEMS_2015-16;student
ACJY241;GEN_MYSEMS_2015-16;student
acnj237;GEN_MYSEMS_2015-16;student
acnj179;GEN_MYSEMS_2015-16;student
acnj209;GEN_MYSEMS_2015-16;student
acnj222;GEN_MYSEMS_2015-16;student
acnk038;GEN_MYSEMS_2015-16;student
acnn978;GEN_MYSEMS_2015-16;student
acnj188;GEN_MYSEMS_2015-16;student
acnp642;GEN_MYSEMS_2015-16;student
abnp691;GEN_MYSEMS_2015-16;student
abnj793;GEN_MYSEMS_2015-16;student
acjx574;GEN_MYSEMS_2015-16;student
absg438;GEN_MYSEMS_2015-16;student
absg385;GEN_MYSEMS_2015-16;student
absg436;GEN_MYSEMS_2015-16;student
abtx078;GEN_MYSEMS_2015-16;student
absf622;GEN_MYSEMS_2015-16;student
absg356;GEN_MYSEMS_2015-16;student
acjw898;GEN_MYSEMS_2015-16;student
ackb388;GEN_MYSEMS_2015-16;student
acjw999;GEN_MYSEMS_2015-16;student
acnp566;GEN_MYSEMS_2015-16;student
ackd494;GEN_MYSEMS_2015-16;student
acnp559;GEN_MYSEMS_2015-16;student
acjx895;GEN_MYSEMS_2015-16;student
acnp614;GEN_MYSEMS_2015-16;student
acnj764;GEN_MYSEMS_2015-16;student
acnc098;GEN_MYSEMS_2015-16;student
ackd344;GEN_MYSEMS_2015-16;student
